Village,Latitude,Longitude,Elevation_m,Population,Population_Source,Place_Type,Nearest_Facility_Name,Nearest_Facility_Type,Nearest_Facility_Latitude,Nearest_Facility_Longitude,Distance_Nearest_Facility_km,Nearest_Facility_Confidence,Dist_Zipline_km
Aboade,4.8946087,-1.9392318,31.0,4241.0,WorldPop_2020,village/town/hamlet,Gemar Hospital,Clinic,4.8904665,-1.9548466,1.79,0.81,154.65484560548438
Aboadze,4.972723,-1.650084,6.0,17233.0,WorldPop_2020,village/town/hamlet,Aboadze Clinic,Clinic,4.9733344,-1.6500323,0.07,0.53,162.57230689235112
Aboagyaa,6.9886472,-2.5616464,251.0,208.0,WorldPop_2020,village/town/hamlet,Ahmadiyya,Clinic,6.8940491,-2.5651706,10.53,0.53,89.61326807787844
Aboagyekrom,5.6338919,-2.4497176,74.0,247.0,WorldPop_2020,village/town/hamlet,Samartex Hospital,Hospital,5.6158357,-2.5642588,12.83,0.53,60.73535349640504
Aboagyekrom,6.1855528,-1.6542658,200.0,9983.0,WorldPop_2020,suburb,SDA Hospital,Hospital,6.19789,-1.63915,2.16,0.81,91.88789518242177
Aboagyekrom,6.4703931,-2.6705695,209.0,773.0,WorldPop_2020,village/town/hamlet,Asarekrom CHPS,Clinic,6.5762288,-2.6390223,12.27,0.81,37.960594947388984
Aboakurom,5.8989588,-0.52508,235.0,483.0,WorldPop_2020,village/town/hamlet,Odumkyere Darmang Health Centre,Clinic,5.8688274,-0.5422364,3.85,0.63,34.70621512789109
Aboamakurom,6.6605475,-0.4467675,264.0,319.0,WorldPop_2020,village/town/hamlet,Asaaseboma CHPs Compound,Health_Post,6.7453453,-0.3607664,13.38,0.67,50.63257690460633
Aboasa,6.2967167,0.1338503,83.0,1455.0,WorldPop_2020,village/town/hamlet,Eric's Chemists,Pharmacy,6.2393408,0.0922965,7.86,0.81,21.444470193478924
Aboase,5.3063437,-1.1268,70.0,2252.0,WorldPop_2020,village/town/hamlet,A & E Pharmacy,Pharmacy,5.2650332,-1.0204381,12.64,0.81,124.53235636054238
Aboaso,6.0017966,-1.1929896,113.0,1560.0,WorldPop_2020,village/town/hamlet,Boys Dormitory,Clinic,5.9689484,-0.9933071,22.38,0.63,85.59782910627355
Aboaso,6.6197104,-1.5384936,264.0,3075.0,WorldPop_2020,village/town/hamlet,Sawia Health Center,Hospital,6.6135698,-1.5422574,0.8,0.53,50.970462512590565
Aboaso,6.8093475,-1.5381264,348.0,2423.0,WorldPop_2020,village/town/hamlet,Unnamed Pharmacy,Pharmacy,6.8061066,-1.5431847,0.66,0.61,31.930039169816688
